#Taxa	NovC1	NovC2	NovC3	NovC4	NovC5	NovC6	NovC7	NovC8	NovC9	NovC10	JanC1	JanC2	JanC3	JanC4	JanC5	JanC6	JanC7	JanC8	JanC9	MarC1	MarC2	MarC3	MarC5	MarC6	MarC7	MarC8	MarC9	Taxonomy
OTU_357	35	0	0	0	0	0	0	4	27	0	17	11	2	7	73	41	19	4	23	20	68	2	6	0	22	2	5	k__Bacteria;p__Bacteroidetes;c__Bacteroidia
OTU_358	0	1	1	0	3	1	0	0	4	1	0	2	0	0	0	1	1	2	0	1	5	4	2	2	0	1	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_359	26	51	32	33	94	69	55	45	16	188	8	0	0	5	8	16	8	11	26	3	0	8	6	2	9	5	5	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_360	0	0	28	1	4	1	0	6	1	5	1	2	1	11	0	1	3	0	6	2	4	2	5	8	3	4	3	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__unidentified_Ruminococcaceae
OTU_361	11	5	10	3	7	2	3	2	5	4	4	15	6	12	4	19	4	9	18	1	1	6	2	3	0	18	19	k__Bacteria
OTU_362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__unidentified_Bacteria;c__unidentified_Bacteria;o__Campylobacterales;f__unidentified_Campylobacterales;g__Arcobacter
OTU_363	61	11	24	0	17	76	10	67	4	8	9	7	1	1	10	29	4	8	0	1	1	5	10	42	4	0	6	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_364	0	4	8	2	0	3	8	0	14	0	0	12	3	4	7	8	6	5	11	6	8	2	10	10	0	9	2	k__Bacteria
OTU_365	0	5	1	0	0	1	3	0	0	2	0	1	0	0	0	0	0	0	0	0	4	0	0	4	0	1	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__unidentified_Lachnospiraceae
OTU_366	0	1	0	0	2	0	3	0	0	3	0	5	14	0	9	8	0	3	4	28	5	15	27	28	0	6	5	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__Anaeroplasma_varium
OTU_367	11	16	47	5	10	11	6	7	5	20	11	5	3	7	6	7	8	11	8	41	15	11	17	11	26	12	7	k__Bacteria;p__Tenericutes;c__Mollicutes;o__;f__;g__;s__
OTU_368	5	17	8	10	20	19	41	0	33	30	3	5	6	0	13	22	11	27	5	2	13	26	0	4	8	5	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_369	0	3	5	4	3	8	7	3	18	2	2	31	9	6	40	36	21	36	12	7	4	9	13	10	2	6	3	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__
OTU_370	88	13	43	15	79	19	10	20	6	2	27	4	2	2	51	11	94	12	1	18	2	6	23	150	3	2	5	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_371	0	0	1	0	1	3	2	3	2	0	7	5	7	3	8	6	24	18	10	4	4	8	7	2	0	3	3	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
OTU_372	50	1	2	4	0	26	20	14	7	16	2	202	2	6	7	5	6	12	67	2	16	0	1	15	0	12	5	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_373	4	3	42	0	16	4	0	2	37	18	0	0	2	1	2	1	0	0	4	0	0	17	2	0	5	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__unidentified_Prevotellaceae;s__Alloprevotella_sp_feline_oral_taxon_309
OTU_374	9	1	3	2	6	6	3	25	1	32	95	0	33	89	11	2	18	98	4	7	10	20	38	35	260	14	36	k__Bacteria
OTU_375	2	0	58	10	0	2	2	4	2	8	6	2	3	0	8	0	4	1	4	23	20	25	21	18	16	14	1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
OTU_376	0	0	2	20	6	14	0	3	10	42	44	12	109	79	8	13	12	65	167	4	19	38	3	16	14	25	16	k__Bacteria;p__Bacteroidetes;c__Bacteroidia
OTU_377	2	2	7	11	3	22	10	0	12	5	3	14	4	4	8	3	26	12	7	0	16	7	0	6	23	4	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_378	45	60	12	11	25	20	37	47	29	11	34	11	14	51	9	155	22	15	23	11	26	11	18	6	3	26	16	k__Bacteria;p__Kiritimatiellaeota;c__Kiritimatiellae;o__;f__;g__;s__
OTU_379	5	31	0	9	6	5	20	0	14	3	5	9	3	17	13	21	18	16	7	0	3	1	4	4	0	4	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_380	5	5	28	1	3	23	4	0	10	14	0	0	3	5	2	0	1	13	0	0	0	2	9	0	2	16	0	k__Bacteria;p__Tenericutes;c__Mollicutes;o__;f__;g__;s__
OTU_381	5	1	23	8	8	9	0	4	2	5	0	0	1	0	0	0	0	0	0	0	3	0	0	0	2	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
